[2026-04-12 12:00:35,200: INFO: main: 3: This is a log message from main.py]
[2026-04-14 10:43:19,841: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-14 10:43:19,845: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-14 10:44:09,812: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-14 10:44:09,816: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-14 10:44:09,818: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-14 10:44:09,823: INFO: common: 53: Directory 'artifacts/data_ingestion' created successfully.]
[2026-04-14 10:44:09,825: INFO: 356545463: 7: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/train.csv a la ruta: artifacts/data_ingestion\train.csv]
[2026-04-14 10:44:10,995: INFO: 356545463: 13: Archivo descargado exitosamente en: artifacts/data_ingestion\train.csv]
[2026-04-14 10:44:11,000: INFO: 356545463: 7: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/test.csv a la ruta: artifacts/data_ingestion\test.csv]
[2026-04-14 10:44:11,404: INFO: 356545463: 13: Archivo descargado exitosamente en: artifacts/data_ingestion\test.csv]
[2026-04-14 10:44:11,410: INFO: 356545463: 7: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/validation.csv a la ruta: artifacts/data_ingestion\val.csv]
[2026-04-14 10:44:11,818: INFO: 356545463: 13: Archivo descargado exitosamente en: artifacts/data_ingestion\val.csv]
[2026-04-15 10:50:53,151: INFO: main: 7: >>>>>>> Stage Data Ingestion Stage started <<<<<<<]
[2026-04-15 10:50:53,155: INFO: stage_1_data_ingestion_pipeline: 10: Iniciando la etapa de ingesta de datos para el entrenamiento.]
[2026-04-15 10:50:53,159: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-15 10:50:53,162: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-15 10:50:53,164: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-15 10:50:53,170: INFO: common: 53: Directory 'artifacts/data_ingestion' created successfully.]
[2026-04-15 10:50:53,175: INFO: data_ingestion: 13: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/train.csv a la ruta: artifacts/data_ingestion\train.csv]
[2026-04-15 10:50:54,778: INFO: data_ingestion: 19: Archivo descargado exitosamente en: artifacts/data_ingestion\train.csv]
[2026-04-15 10:50:54,783: INFO: data_ingestion: 13: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/test.csv a la ruta: artifacts/data_ingestion\test.csv]
[2026-04-15 10:50:55,208: INFO: data_ingestion: 19: Archivo descargado exitosamente en: artifacts/data_ingestion\test.csv]
[2026-04-15 10:50:55,211: INFO: data_ingestion: 13: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/validation.csv a la ruta: artifacts/data_ingestion\val.csv]
[2026-04-15 10:50:55,630: INFO: data_ingestion: 19: Archivo descargado exitosamente en: artifacts/data_ingestion\val.csv]
[2026-04-15 10:50:55,633: INFO: stage_1_data_ingestion_pipeline: 17: Etapa de ingesta de datos para el entrenamiento completada exitosamente.]
[2026-04-15 10:50:55,633: INFO: main: 10: >>>>>>> Stage Data Ingestion Stage completed <<<<<<<]
[2026-04-19 11:35:26,030: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-19 11:35:26,034: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-19 11:35:26,036: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-19 11:38:15,389: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-19 11:38:15,393: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-19 11:38:15,396: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-19 11:38:15,589: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:38:15,609: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:38:15,629: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:38:15,786: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:38:15,805: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:38:15,837: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:38:15,991: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"]
[2026-04-19 11:38:16,125: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"]
[2026-04-19 11:38:16,256: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/spiece.model "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:38:16,258: WARNING: _http: 916: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.]
[2026-04-19 11:38:16,279: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/spiece.model "HTTP/1.1 200 OK"]
[2026-04-19 11:38:16,306: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/spiece.model "HTTP/1.1 200 OK"]
[2026-04-19 11:38:16,622: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer.json "HTTP/1.1 404 Not Found"]
[2026-04-19 11:38:16,761: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/added_tokens.json "HTTP/1.1 404 Not Found"]
[2026-04-19 11:38:16,886: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/special_tokens_map.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:38:16,903: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/special_tokens_map.json "HTTP/1.1 200 OK"]
[2026-04-19 11:38:16,931: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/special_tokens_map.json "HTTP/1.1 200 OK"]
[2026-04-19 11:38:17,072: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"]
[2026-04-19 11:39:24,208: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-19 11:39:24,211: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-19 11:39:24,213: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-19 11:39:24,398: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:39:24,416: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:39:24,555: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:39:24,574: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:39:24,718: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"]
[2026-04-19 11:39:24,856: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"]
[2026-04-19 11:39:25,391: INFO: _client: 1025: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/csv/csv.py "HTTP/1.1 200 OK"]
[2026-04-19 11:40:13,042: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-19 11:40:13,046: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-19 11:40:13,048: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-19 11:40:13,239: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:40:13,256: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:40:13,386: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 11:40:13,406: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
[2026-04-19 11:40:13,550: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"]
[2026-04-19 11:40:13,689: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"]
[2026-04-19 11:40:14,253: INFO: _client: 1025: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/csv/csv.py "HTTP/1.1 200 OK"]
[2026-04-19 12:02:03,081: INFO: main: 9: >>>>>>> Stage Data Ingestion Stage started <<<<<<<]
[2026-04-19 12:02:03,081: INFO: stage_1_data_ingestion_pipeline: 10: Iniciando la etapa de ingesta de datos para el entrenamiento.]
[2026-04-19 12:02:03,084: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-19 12:02:03,085: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-19 12:02:03,085: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-19 12:02:03,086: INFO: common: 53: Directory 'artifacts/data_ingestion' created successfully.]
[2026-04-19 12:02:03,086: INFO: data_ingestion: 13: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/train.csv a la ruta: artifacts/data_ingestion\train.csv]
[2026-04-19 12:02:03,931: INFO: data_ingestion: 19: Archivo descargado exitosamente en: artifacts/data_ingestion\train.csv]
[2026-04-19 12:02:03,935: INFO: data_ingestion: 13: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/test.csv a la ruta: artifacts/data_ingestion\test.csv]
[2026-04-19 12:02:04,192: INFO: data_ingestion: 19: Archivo descargado exitosamente en: artifacts/data_ingestion\test.csv]
[2026-04-19 12:02:04,194: INFO: data_ingestion: 13: Descargando el archivo desde la URL: https://huggingface.co/datasets/knkarthick/samsum/resolve/main/validation.csv a la ruta: artifacts/data_ingestion\val.csv]
[2026-04-19 12:02:04,439: INFO: data_ingestion: 19: Archivo descargado exitosamente en: artifacts/data_ingestion\val.csv]
[2026-04-19 12:02:04,441: INFO: stage_1_data_ingestion_pipeline: 17: Etapa de ingesta de datos para el entrenamiento completada exitosamente.]
[2026-04-19 12:02:04,441: INFO: main: 12: >>>>>>> Stage Data Ingestion Stage completed <<<<<<<]
[2026-04-19 12:02:04,441: INFO: main: 18: >>>>>>> Stage Data Transformation Stage started <<<<<<<]
[2026-04-19 12:02:04,441: INFO: stage_2_data_transformation_pipeline: 12: Iniciando la etapa de transformación de datos.]
[2026-04-19 12:02:04,444: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-19 12:02:04,445: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-19 12:02:04,445: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-19 12:02:04,628: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 12:02:04,629: WARNING: _http: 916: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.]
[2026-04-19 12:02:04,647: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-04-19 12:02:04,791: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-04-19 12:02:04,812: INFO: _client: 1025: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
[2026-04-19 12:02:04,954: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"]
[2026-04-19 12:02:05,092: INFO: _client: 1025: HTTP Request: GET https://huggingface.co/api/models/google/pegasus-cnn_dailymail/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"]
[2026-04-19 12:02:05,424: INFO: data_transformation: 35: Iniciando la etapa de transformación de datos.]
[2026-04-19 12:02:05,804: INFO: _client: 1025: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/csv/csv.py "HTTP/1.1 200 OK"]
[2026-04-19 12:02:07,035: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:07,150: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:07,252: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:07,359: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:07,479: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:07,585: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:07,741: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:07,852: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:07,986: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:08,113: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:08,327: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:08,593: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:08,701: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:08,813: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:08,943: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:09,048: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:09,156: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:09,255: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:09,414: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:09,537: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:09,706: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:09,812: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:09,980: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:10,082: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:10,224: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:10,334: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:10,495: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:10,579: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:10,701: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:10,767: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:11,918: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:11,995: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:13,105: INFO: data_transformation: 15: Convirtiendo los ejemplos a features utilizando el tokenizer.]
[2026-04-19 12:02:13,176: INFO: data_transformation: 31: Ejemplos convertidos a features exitosamente.]
[2026-04-19 12:02:13,404: INFO: data_transformation: 46: Etapa de transformación de datos completada exitosamente.]
[2026-04-19 12:02:13,420: INFO: stage_2_data_transformation_pipeline: 17: Etapa de transformación de datos completada exitosamente.]
[2026-04-19 12:02:13,513: INFO: main: 21: >>>>>>> Stage Data Transformation Stage completed <<<<<<<]
[2026-04-20 10:16:19,166: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:16:19,171: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:16:19,173: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:20:33,983: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:20:33,988: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:20:33,992: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:20:33,996: INFO: common: 53: Directory 'artifacts/model_trainer' created successfully.]
[2026-04-20 10:22:10,762: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:22:10,765: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:22:10,771: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:22:10,773: INFO: common: 53: Directory 'artifacts/model_trainer' created successfully.]
[2026-04-20 10:38:32,550: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:38:32,554: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:38:32,559: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:38:32,564: INFO: common: 53: Directory 'artifacts/model_trainer' created successfully.]
[2026-04-20 10:39:28,737: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:39:28,741: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:39:28,744: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:39:28,750: INFO: common: 53: Directory 'artifacts/model_trainer' created successfully.]
[2026-04-20 10:40:34,117: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:40:34,120: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:40:34,125: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:40:34,128: INFO: common: 53: Directory 'artifacts/model_trainer' created successfully.]
[2026-04-20 10:44:37,067: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-20 10:44:37,070: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
[2026-04-20 10:44:37,072: INFO: common: 53: Directory 'artifacts' created successfully.]
[2026-04-20 10:44:37,075: INFO: common: 53: Directory 'artifacts/model_trainer' created successfully.]
[2026-04-20 10:45:52,679: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
